travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
Business,"[{'w': 0, 'dim': [33, 25, 23]}, {'w': 11, 'dim': [44, 34, 17]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 7, 'dim': [36, 37, 13]}, {'w': 8, 'dim': [43, 39, 26]}]","[{'w': 55, 'dim': [71, 47, 36]}]","[{'w': 3, 'dim': [91, 59, 29]}, {'w': 0, 'dim': [97, 76, 46]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [23, 40, 28]}, {'w': 1, 'dim': [38, 27, 16]}]",[],[],child,False,Carry-on bag exceeds size limits.,0
Economy,[],[],[],child,True,Checked luggage complies with the policy.,0
First,"[{'w': 17, 'dim': [42, 26, 27]}, {'w': 5, 'dim': [22, 29, 27]}]","[{'w': 53, 'dim': [70, 61, 20]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [23, 29, 11]}]","[{'w': 0, 'dim': [54, 46, 39]}, {'w': 0, 'dim': [55, 50, 45]}]","[{'w': 43, 'dim': [85, 54, 26]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,[],[],"[{'w': 34, 'dim': [94, 74, 48]}, {'w': 0, 'dim': [63, 43, 26]}]",adult,False,Item with weight 34kg or size 216cm must be shipped as cargo.,225
Business,[],[],"[{'w': 18, 'dim': [64, 53, 22]}]",adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 10, 'dim': [40, 31, 22]}]","[{'w': 13, 'dim': [89, 41, 32]}]","[{'w': 21, 'dim': [65, 43, 47]}]",child,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [42, 25, 16]}]",[],"[{'w': 0, 'dim': [51, 55, 23]}, {'w': 24, 'dim': [70, 32, 33]}]",adult,True,Checked luggage complies with the policy.,225
Economy,"[{'w': 0, 'dim': [40, 33, 26]}, {'w': 24, 'dim': [31, 34, 10]}]","[{'w': 0, 'dim': [86, 38, 33]}, {'w': 0, 'dim': [78, 62, 47]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [30, 38, 21]}]","[{'w': 29, 'dim': [79, 43, 29]}]","[{'w': 1, 'dim': [68, 40, 47]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 8, 'dim': [46, 32, 30]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 23, 'dim': [35, 34, 20]}, {'w': 5, 'dim': [21, 25, 24]}]","[{'w': 0, 'dim': [73, 64, 28]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 27, 'dim': [90, 69, 40]}]","[{'w': 0, 'dim': [60, 75, 50]}]",adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 9, 'dim': [71, 56, 42]}]",[],adult,True,Checked luggage complies with the policy.,0
Economy,[],"[{'w': 10, 'dim': [83, 66, 44]}, {'w': 21, 'dim': [51, 53, 32]}]","[{'w': 0, 'dim': [71, 77, 20]}, {'w': 10, 'dim': [52, 54, 30]}]",adult,False,Exceeded carry-on weight limit.,0
First,[],[],"[{'w': 0, 'dim': [53, 36, 45]}, {'w': 0, 'dim': [69, 66, 35]}]",adult,True,Checked luggage complies with the policy.,100
First,"[{'w': 16, 'dim': [25, 32, 30]}, {'w': 0, 'dim': [46, 29, 18]}]","[{'w': 0, 'dim': [77, 57, 37]}]",[],child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 4, 'dim': [37, 24, 21]}]",[],"[{'w': 0, 'dim': [51, 47, 32]}, {'w': 22, 'dim': [77, 67, 40]}]",adult,True,Checked luggage complies with the policy.,100
Business,"[{'w': 6, 'dim': [44, 33, 20]}, {'w': 0, 'dim': [25, 25, 15]}]","[{'w': 0, 'dim': [82, 67, 27]}]",[],child,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [24, 33, 29]}]","[{'w': 6, 'dim': [65, 51, 33]}]","[{'w': 0, 'dim': [61, 48, 30]}, {'w': 0, 'dim': [91, 71, 34]}]",adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [30, 36, 20]}]",[],"[{'w': 27, 'dim': [99, 48, 28]}]",adult,True,Checked luggage complies with the policy.,100
Economy,"[{'w': 9, 'dim': [49, 31, 19]}, {'w': 5, 'dim': [42, 32, 29]}]","[{'w': 0, 'dim': [85, 54, 37]}, {'w': 0, 'dim': [74, 38, 27]}]","[{'w': 34, 'dim': [84, 31, 42]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,[],"[{'w': 20, 'dim': [55, 69, 28]}]","[{'w': 15, 'dim': [80, 61, 47]}, {'w': 0, 'dim': [65, 35, 48]}]",infant,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 3, 'dim': [22, 40, 19]}]","[{'w': 0, 'dim': [56, 68, 39]}]","[{'w': 0, 'dim': [74, 56, 26]}]",adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [35, 25, 30]}, {'w': 4, 'dim': [40, 35, 11]}]",[],"[{'w': 4, 'dim': [74, 64, 36]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 11, 'dim': [43, 31, 17]}]","[{'w': 0, 'dim': [87, 57, 30]}]","[{'w': 10, 'dim': [82, 35, 43]}, {'w': 2, 'dim': [63, 47, 20]}]",adult,True,Checked luggage complies with the policy.,100
First,"[{'w': 9, 'dim': [46, 35, 14]}]",[],"[{'w': 6, 'dim': [89, 35, 23]}]",adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 0, 'dim': [21, 24, 24]}]","[{'w': 0, 'dim': [51, 43, 31]}, {'w': 61, 'dim': [69, 65, 24]}]","[{'w': 15, 'dim': [59, 76, 26]}, {'w': 17, 'dim': [61, 41, 48]}, {'w': 21, 'dim': [78, 39, 44]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 11, 'dim': [23, 29, 11]}, {'w': 3, 'dim': [27, 36, 15]}]",[],[],infant,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 8, 'dim': [82, 50, 25]}]",[],child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 9, 'dim': [33, 31, 10]}]","[{'w': 55, 'dim': [70, 66, 48]}]","[{'w': 22, 'dim': [74, 73, 21]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 17, 'dim': [43, 37, 27]}, {'w': 11, 'dim': [38, 23, 29]}]","[{'w': 38, 'dim': [54, 61, 50]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [30, 40, 27]}, {'w': 11, 'dim': [43, 21, 11]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 5, 'dim': [43, 23, 19]}, {'w': 13, 'dim': [20, 27, 16]}]",[],"[{'w': 6, 'dim': [59, 67, 24]}, {'w': 37, 'dim': [66, 68, 25]}]",adult,False,Exceeded carry-on weight limit.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 6, 'dim': [30, 20, 14]}, {'w': 0, 'dim': [35, 28, 10]}]",[],"[{'w': 52, 'dim': [87, 74, 28]}, {'w': 0, 'dim': [73, 74, 33]}]",adult,False,Item with weight 52kg or size 189cm must be shipped as cargo.,175
First,"[{'w': 0, 'dim': [46, 33, 16]}, {'w': 0, 'dim': [46, 20, 24]}]",[],[],infant,False,Carry-on bag exceeds size limits.,0
Business,[],[],"[{'w': 20, 'dim': [95, 35, 35]}, {'w': 0, 'dim': [69, 37, 40]}, {'w': 1, 'dim': [64, 45, 29]}]",adult,True,Checked luggage complies with the policy.,250
Economy,"[{'w': 0, 'dim': [25, 38, 30]}]","[{'w': 14, 'dim': [69, 50, 36]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 23, 'dim': [32, 24, 20]}, {'w': 19, 'dim': [45, 27, 23]}]","[{'w': 16, 'dim': [53, 37, 47]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [33, 31, 21]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Economy,[],[],"[{'w': 0, 'dim': [95, 65, 30]}]",adult,True,Checked luggage complies with the policy.,100
First,[],"[{'w': 10, 'dim': [77, 31, 50]}, {'w': 0, 'dim': [83, 45, 34]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 4, 'dim': [71, 30, 49]}]","[{'w': 30, 'dim': [94, 59, 28]}]",adult,True,Checked luggage complies with the policy.,100
Business,"[{'w': 1, 'dim': [25, 25, 12]}]","[{'w': 0, 'dim': [64, 41, 25]}]","[{'w': 0, 'dim': [100, 60, 31]}]",child,True,Checked luggage complies with the policy.,100
Economy,[],[],[],child,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [38, 25, 18]}]","[{'w': 14, 'dim': [74, 57, 41]}]","[{'w': 13, 'dim': [94, 53, 28]}, {'w': 25, 'dim': [54, 44, 29]}, {'w': 0, 'dim': [71, 54, 28]}]",adult,False,Exceeded carry-on weight limit.,0
